text,url,category
Abdi Khani Umar Osman Bisha Ramadaan waa bil barakeysan ee dadka alle wax udhiibay masaakiinta ha ogaadaan 5h Like Reply See translation 4,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Create a PIN to access your chat history on any device.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Messages and calls are secured with end-to-end encryption.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
I'm an exiled journalist | Exposes corruption & wrongdoing through real evidence| 📞 +252613666667,https://www.facebook.com/MunasarMohamedAbd,not crime-related
English language (United States) and Qur'anic Arabic,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation … See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation … See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Bisha Ramadaan waa bil barakeysan ee dadka alle wax udhiibay masaakiinta ha ogaadaan,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Faaduma Isku Roon Daynile wxa lagu naco in la dago saan wye ilen qofka wuka naxa daynile daganhy hada dhahdo 7h Like Reply See translation 67,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Saacid Cabdiqaadir Axmed WAR IIDIKAA MUNAAFAQ AH EE NAGATAGA HADII AAD MUSLIIN TIIHIN 11h Like Reply See translation 5,https://www.facebook.com/MunasarMohamedAbd,crime-related
Privacy · Terms · Advertising · Ad choices · Cookies · More,https://www.facebook.com/MunasarMohamedAbd,not crime-related
"What is happening here will surprise you. On a clear day, people and cars are robbing.… See more · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related
"What is happening here will surprise you. On a clear day, people and cars are robbing.… See more",https://www.facebook.com/MunasarMohamedAbd,not crime-related
Daynile wxa lagu naco in la dago saan wye ilen qofka wuka naxa daynile daganhy hada dhahdo,https://www.facebook.com/MunasarMohamedAbd,not crime-related
BREAKING NEWS: The opposition are taking a heavy decision after the failure of the collapsed conference. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
BREAKING NEWS: The opposition are taking a heavy decision after the failure of the collapsed conference.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
WAR IIDIKAA MUNAAFAQ AH EE NAGATAGA HADII AAD MUSLIIN TIIHIN,https://www.facebook.com/MunasarMohamedAbd,crime-related
Hassan Amiin waxaan hubaa in ey guulaysan doonaan kuwii raaca jidkii nebi muxammad scw 1d Like Reply See translation 48,https://www.facebook.com/MunasarMohamedAbd,crime-related
Mohamed Abdrizak Mohamed Bishaan Ramadaan anfurkaada iyo Ilmaha caanahooda Globalal Fartilaty Ayaa qabto miyaa lol 1d Like Reply See translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
