text,url,category
Abdi Khani Umar Osman Bisha Ramadaan waa bil barakeysan ee dadka alle wax udhiibay masaakiinta ha ogaadaan 5h Like Reply See translation 4,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Create a PIN to access your chat history on any device.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
I'm an exiled journalist | Exposes corruption & wrongdoing through real evidence| 📞 +252613666667,https://www.facebook.com/MunasarMohamedAbd,not crime-related
English language (United States) and Qur'anic Arabic,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation … See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation … See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Bisha Ramadaan waa bil barakeysan ee dadka alle wax udhiibay masaakiinta ha ogaadaan,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Saacid Cabdiqaadir Axmed WAR IIDIKAA MUNAAFAQ AH EE NAGATAGA HADII AAD MUSLIIN TIIHIN 11h Like Reply See translation 5,https://www.facebook.com/MunasarMohamedAbd,crime-related
Warqabatka warka Runtiisa Munsar adiga gorma ayaa wax bixine 1d Like Reply See translation 3,https://www.facebook.com/MunasarMohamedAbd,crime-related
Hassan Amiin waxaan hubaa in ey guulaysan doonaan kuwii raaca jidkii nebi muxammad scw 1d Like Reply See translation 48,https://www.facebook.com/MunasarMohamedAbd,crime-related
Messages and calls are secured with end-to-end encryption.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Privacy · Terms · Advertising · Ad choices · Cookies · More,https://www.facebook.com/MunasarMohamedAbd,not crime-related
BREAKING NEWS: The opposition are taking a heavy decision after the failure of the collapsed conference. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
BREAKING NEWS: The opposition are taking a heavy decision after the failure of the collapsed conference.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
WAR IIDIKAA MUNAAFAQ AH EE NAGATAGA HADII AAD MUSLIIN TIIHIN,https://www.facebook.com/MunasarMohamedAbd,crime-related
Breaking news: Khadar Nur Mohamed who did something that the government couldn't encourage. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Khadar Nur Mohamed who did something that the government couldn't encourage.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Mungaab who has removed the sword and told that there will be no stop for those who ar… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Mungaab who has removed the sword and told that there will be no stop for those who ar… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Xasan Sheikh loves the ruling party and the opposition who wanted a seat failed to understand each other | The… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
