text,url,category
Prof-Mohamed Abdi Nur Afka amaa afka ii gelisay waaa howl weeyne lkn xagee ku maqneeyd iyadu intaaas 6h Like Reply See translation 125,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
Create a PIN to access your chat history on any device.,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
"I am a Somali investigative journalist focused on uncovering critical and underreported issues through fact-based, accountable reporting. 📞+252615932718 NABAD-GALYO.",https://www.facebook.com/profile.php?id=100063647392210,not crime-related
Zakariye Timacadde Verified account and Zakariye Timacadde,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
"liechtenstein Fursad"" Wadankan yar ee Yurub ku yaala hadii aad joogto Africa sis sahlan ayaa ku imaan kartaa Kaliya ma awoodaa inaa sidan fudud sameyso? Waa Markii ugu horeesay ee aan tagay dal nuucaan ah bal arag.. Qatro Shire Mohamed Ayaa ka shekeneso dalkan . Zakariye Timacadde",https://www.facebook.com/profile.php?id=100063647392210,not crime-related
"liechtenstein Fursad"" Wadankan yar ee Yurub ku yaala hadii aad joogto Africa sis sahlan ayaa ku imaan kartaa Kaliya ma awoodaa inaa sidan fudud sameyso?",https://www.facebook.com/profile.php?id=100063647392210,not crime-related
Zakariye Timacadde Verified account and Munasar Maxamed Verified account,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
"Ma isdilaa waan quustay"" Haliimo Abdullahi "" Sagaal Nin oo Saraakiil Caan ah oo Barayaala ka tirsan CID-Somalia Ayaa Habeen walba ikufsanayay ilaa aan uur ka qaado ilmana ka dhalo. Marka lagaara 2:00 Habeenimo Naasaha iyo Qeybaha Hoose ee jirkeyga ayaa lagu dhajin jiray Koronto si aan u sheegta Danbi aniga aan laheyn "" Darooga ayee igu dareen Quraacda.. Zakariye Timacadde",https://www.facebook.com/profile.php?id=100063647392210,crime-related
"Ma isdilaa waan quustay"" Haliimo Abdullahi "" Sagaal Nin oo Saraakiil Caan oo Barayaala ka tirsan CID-Somalia Ayaa Habeen walba ikufsanayay ilaa aan uur ka qaado ilma ka dhalo""",https://www.facebook.com/profile.php?id=100063647392210,crime-related
"Muqaalka Naxdin badan "" Maydadkooda anoo u jeeda ayaan ka soo orday na bad baadiya iyaga oo dhahaya waxna uma qaban karin "" Dhimashada Saraakisha iyo wariyaasha la xaqiijiyay. Maanta waxa ka dhacay halkan waa musiibo aan caadi aheyn.. imisa qof oo aad ka naxaday geeridooda ayaad maqashay maanta? Timacade Media",https://www.facebook.com/profile.php?id=100063647392210,crime-related
"Muqaalka Naxdin badan "" Maydadkooda anoo u jeeda ayaan ka soo orday na bad baadiya iyaga oo dhahaya waxna uma qaban karin "" Dhimashada Saraakisha iyo wariyaasha la xaqiijiyay.",https://www.facebook.com/profile.php?id=100063647392210,crime-related
DEGDEG Mugdi luuq ah ayaa .. Duqdiyaa dhahooso Afka Afka ma ii gilisay Haa am May Maxaa qaldan tan ma xoog baa ama ?,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
Afka amaa afka ii gelisay waaa howl weeyne lkn xagee ku maqneeyd iyadu intaaas,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
Messages and calls are secured with end-to-end encryption.,https://www.facebook.com/profile.php?id=100063647392210,not crime-related
