text,url,category,region
Xassan Muxudin Munasarow Sxp Dadka Qaaska ah Oo Kliya Miyaa u Adegtaa Sxp Gabadh ayaa Naga maqan Mel walpo wn Kala soo Hdlay Imana Jwpesid Dadnimo Hde Jirto Iso Jwp Cawinadada Ubahanahy 1d Like Reply See translation 61,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Cilad Farsamo Baari 90ka wa halabe 19h Like Reply,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Isack Cadde Kan lahjada active kuma ahne lafta gren halaga dabageeyo 1d Like Reply See translation 14,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Create a PIN to access your chat history on any device.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Messages and calls are secured with end-to-end encryption.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
I'm an exiled journalist | Exposes corruption & wrongdoing through real evidence| 📞 +252613666667,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
English language (United States) and Qur'anic Arabic,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Privacy · Terms · Advertising · Ad choices · Cookies · More,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Breaking news:- A serious incident occurred in a beach where people went to a lot | Be careful of this issue. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Breaking news:- A serious incident occurred in a beach where people went to a lot | Be careful of this issue.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Munasarow Sxp Dadka Qaaska ah Oo Kliya Miyaa u Adegtaa Sxp Gabadh ayaa Naga maqan Mel walpo wn Kala soo Hdlay Imana Jwpesid Dadnimo Hde Jirto Iso Jwp Cawinadada Ubahanahy,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Pay give and do a new thing. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Breaking news:- Candidate Mohamed Fargeeti who told the truth to President Xasan Sheikh ""O president don't tak… See more · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Breaking news:- Candidate Mohamed Fargeeti who told the truth to President Xasan Sheikh ""O president don't tak… See more",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Kan lahjada active kuma ahne lafta gren halaga dabageeyo,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Ina Cali Waxan u jeedna askari la kulmay taliyahiisa ka sareeyay ileen madaxweynaha America wuxuu Somalia ka aaminsa yahay No government No Parliament No institutions No police and Military Hddii aan kuu yeelo taada ee ah iskaashiga ah Files ka ay isdhaaf sadeen marka madxaweyne Trump loo geynaayo sidee loogu sheega mawaxaa laleeyhay xogtaan dawlada Somalia ayaan isdhaafsanay mise sirdoonkena soomaalida ayaa nasoo gaarsiiyey ileen Trump horey ayuu u inkiray Somalia ineysan nadaam dowli ah uusan ka jirine. 2d Like Reply See translation 11,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0zfsL7dkxhuS1PXzcjNsio7hjM2Qbqad2pchfxDhTDXbeSpctutbuxrGZZQsVwexyl,crime-related,Unknown
